jour,dep,hosp,rea,rad,dc
2020/3/18,01,4,0,2,0
2020/3/18,10,10,0,0,0
2020/3/18,11,16,14,16,6
2020/3/18,12,14,4,2,0
2020/3/18,13,196,22,117,8
2020/3/18,14,8,2,0,0
2020/3/18,15,4,2,0,0
2020/3/18,16,2,0,0,0
2020/3/18,17,10,4,4,0
2020/3/18,18,0,0,0,0
2020/3/18,19,0,0,0,0
2020/3/18,02,82,20,36,22
2020/3/18,21,120,32,8,0
2020/3/18,22,2,2,6,0
2020/3/18,23,0,0,0,0
2020/3/18,24,4,2,2,0
2020/3/18,25,52,6,16,2
2020/3/18,26,34,4,0,0
2020/3/18,27,0,0,0,0
2020/3/18,28,10,6,0,2
2020/3/18,29,26,10,6,0
2020/3/18,03,8,0,2,0
2020/3/18,30,10,6,12,0
2020/3/18,31,46,10,22,0
2020/3/18,32,2,2,0,0
2020/3/18,33,14,8,6,2
2020/3/18,34,73,29,36,4
2020/3/18,35,14,6,0,0
2020/3/18,36,0,0,0,0
2020/3/18,37,8,2,0,0
2020/3/18,38,36,4,0,2
2020/3/18,39,4,2,2,0
2020/3/18,04,6,2,4,0
2020/3/18,40,0,0,0,0
2020/3/18,41,0,0,0,0
2020/3/18,42,62,20,6,2
2020/3/18,43,2,2,10,0
2020/3/18,44,36,6,14,2
2020/3/18,45,10,2,0,0
2020/3/18,46,0,0,2,0
2020/3/18,47,20,8,2,0
2020/3/18,48,2,0,0,0
2020/3/18,49,24,2,52,0
2020/3/18,05,16,2,18,0
2020/3/18,50,14,0,2,0
2020/3/18,51,70,14,12,2
2020/3/18,52,8,0,0,2
2020/3/18,53,8,0,4,0
2020/3/18,54,82,37,2,10
2020/3/18,55,22,6,0,0
2020/3/18,56,78,28,20,14
2020/3/18,57,338,68,22,32
2020/3/18,58,0,0,0,0
2020/3/18,59,211,52,12,6
2020/3/18,06,50,2,94,4
2020/3/18,60,188,44,36,12
2020/3/18,61,8,0,4,0
2020/3/18,62,44,18,32,0
2020/3/18,63,20,4,6,0
2020/3/18,64,10,0,0,0
2020/3/18,65,0,0,0,0
2020/3/18,66,18,10,2,0
2020/3/18,67,417,116,8,30
2020/3/18,68,738,154,230,147
2020/3/18,69,62,14,20,0
2020/3/18,07,22,2,0,0
2020/3/18,70,28,8,4,0
2020/3/18,71,70,0,8,10
2020/3/18,72,18,0,2,0
2020/3/18,73,16,0,6,0
2020/3/18,74,55,13,85,10
2020/3/18,75,715,210,80,28
2020/3/18,76,60,6,6,6
2020/3/18,77,50,26,20,0
2020/3/18,78,138,36,10,10
2020/3/18,79,4,2,4,0
2020/3/18,08,0,0,2,0
2020/3/18,80,99,40,18,2
2020/3/18,81,4,0,4,0
2020/3/18,82,2,0,0,2
2020/3/18,83,46,14,156,0
2020/3/18,84,18,6,14,2
2020/3/18,85,2,0,0,0
2020/3/18,86,14,0,0,2
2020/3/18,87,4,0,4,0
2020/3/18,88,64,12,14,16
2020/3/18,89,12,0,2,0
2020/3/18,09,2,2,4,0
2020/3/18,90,50,18,0,0
2020/3/18,91,102,32,0,2
2020/3/18,92,296,96,44,8
2020/3/18,93,184,66,30,10
2020/3/18,94,242,64,32,10
2020/3/18,95,179,58,41,4
2020/3/19,01,4,0,2,0
2020/3/19,10,12,2,0,0
2020/3/19,11,36,22,16,12
2020/3/19,12,18,4,4,2
2020/3/19,13,256,40,193,8
2020/3/19,14,8,2,2,0
2020/3/19,15,6,2,0,0
2020/3/19,16,0,0,4,0
2020/3/19,17,14,4,4,0
2020/3/19,18,0,0,0,0
2020/3/19,19,2,0,0,0
2020/3/19,02,86,30,66,38
2020/3/19,21,106,38,55,4
2020/3/19,22,4,2,6,0
2020/3/19,23,0,0,0,0
2020/3/19,24,4,2,2,0
2020/3/19,25,66,22,20,4
2020/3/19,26,64,16,4,0
2020/3/19,27,2,2,0,0
2020/3/19,28,22,8,0,2
2020/3/19,29,34,10,12,0
2020/3/19,03,0,0,14,0
2020/3/19,30,8,2,14,2
2020/3/19,31,52,12,26,2
2020/3/19,32,6,6,0,0
2020/3/19,33,14,10,14,4
2020/3/19,34,98,36,42,8
2020/3/19,35,32,16,30,0
2020/3/19,36,6,0,0,0
2020/3/19,37,12,6,0,0
2020/3/19,38,44,4,6,2
2020/3/19,39,4,2,2,0
2020/3/19,04,6,2,6,0
2020/3/19,40,0,0,0,0
2020/3/19,41,4,0,0,0
2020/3/19,42,96,36,16,6
2020/3/19,43,2,2,10,0
2020/3/19,44,48,12,18,2
2020/3/19,45,18,6,0,0
2020/3/19,46,0,0,2,0
2020/3/19,47,20,2,2,0
2020/3/19,48,2,0,0,0
2020/3/19,49,32,6,56,0
2020/3/19,05,20,2,20,0
2020/3/19,50,12,0,4,0
2020/3/19,51,78,14,28,4
2020/3/19,52,8,0,0,2
2020/3/19,53,10,2,6,0
